# TGAutoSign 全文翻译真相源（中文<TAB>英文）
群	Group
[更多日志]	[More logs]
{0} 出品	Made by {0}
① 打开面板	1. Open the panel
保存失败: 	Save failed: 
保存排除规则	Save block rules
关键词与策略	Keywords & strategy
反射锚点检查	Reflection anchors
复制失败: 	Copy failed: 
实际 {0}	Actual {0}
已复制这一行	Line copied
我有签到指令	I have a check-in command
打开失败: 	Could not open: 
指令不能为空	Command cannot be empty
捕获回调按钮	Capture callback button
新手只看这段	Start here
查看今日计划	Today's plan
每日重试上限	Daily retry limit
添加签到目标	Add signing target
添加群聊签到	Add group sign-in
清空所有配置	Clear all config
清空运行日志	Clear logs
点选立即签到	Tap to sign now
目标已不存在	This target no longer exists
目标：{0}	Target: {0}
签到结果通知	Sign-in result notification
请填签到指令	Enter the sign-in command
请填群 ID	Enter the group ID
跨账号彻底清	Wipe all accounts
English	English
bot {0}	bot {0}
json 备份	JSON backup
{0} 个目标	{0} targets
{0} 个账号	{0} accounts
{0}（待签）	{0} (pending)
{0}（明日）	{0} (tomorrow)
{0}：{1}	{0}: {1}
⑤ 临时不想签	5. Pause a target
⑥ 怎么看结果	6. Where to see results
⑩ 外观与主题	10. Look & theme
⑬ 日志怎么读	13. Reading logs
⑭ 更新与反馈	14. Updates & feedback
▍关键词与策略	KEYWORDS & STRATEGY
不含学习关键词	no learning keyword
判定机器人回复	Judging bot replies
原计划 {0}	Planned {0}
宿主包 {0}	Host package {0}
已停用 {0}	Disabled {0}
已冻结：{0}	Frozen: {0}
已删除 {0}	Deleted {0}
已启用 {0}	Enabled {0}
已恢复：{0}	Resumed: {0}
已清空排除列表	Blocklist cleared
已解冻：{0}	Unfrozen: {0}
已记为今日已签	Marked as signed today
已载入 {0}	Loaded {0}
排除的 bot	Blocked bots
排除规则已保存	Block rules saved
日志目录不可用	Log directory unavailable
暂无日志可导出	No logs to export
标签 / 指令	Label / command
正在检查更新…	Checking for updates…
添加并立即签到	Add and sign now
添加群签到目标	Add group sign-in target
界面语言：中文	Language: 中文
确认框失败: 	Confirmation dialog failed: 
示例 · 领取	Example · claim
网络学习需确认	Confirm network learning
还没有日志文件	No log files yet
还没有签到目标	No targets yet
（还没有目标）	(no targets yet)
(无待确认目标)	(nothing pending)
UID 格式错误	Invalid UID
⑫ 出问题怎么办	12. Troubleshooting
▍排除的 bot	BLOCKED BOTS
下次签到 {0}	Next sign-in {0}
下载失败：{0}	Download failed: {0}
今天已经签到过了	Already signed today
全局默认唤醒命令	Default wake command
冻结（不再签到）	Freeze (never sign)
反馈·交流·帮助	Feedback · chat · help
始终日间（浅色）	Always light
定时·窗口·间隔	Timer · window · interval
导入失败：{0}	Import failed: {0}
导出失败：{0}	Export failed: {0}
已保存到 {0}	Saved to {0}
已填入: {0}	Filled in: {0}
已复制到 {0}	Copied to {0}
已导出「{0}」	Exported "{0}"
已添加群签到目标	Group sign-in target added
已跳过（{0}）	Skipped ({0})
待确认（{0}）	Pending ({0})
待确认：忽略今天	Pending: skip today
待确认：确认已签	Pending: confirm signed
待确认：重试一次	Pending: retry once
按钮·发射·绑定	Button · fire · bind
排除整只 bot	Block this bot
搜索·筛选·清空	Search · filter · clear
未排进今日时刻表	Not in today's schedule
查看·测试·编辑	View · test · edit
点选要删除的目标	Tap a target to delete
确认清空全部配置	Clear all config
示例 · 群打卡	Example · group check-in
群 / 频道签到	Group / channel check-in
自动识别（推荐）	Auto-detect (recommended)
补签截止 {0}	Make-up deadline {0}
解冻（恢复签到）	Unfreeze (resume)
该按钮无回调数据	This button has no callback data
选择群 / 频道	Choose group / channel
（窗口外·省电）	(outside window · saving power)
🧪 {0} 成功	🧪 {0} succeeded
 · 错过 {0}	 · missed {0}
 绑定刚点按钮: 	 Bind that button: 
⑦ 签到通知在哪看	7. Where notifications go
保存失败: {0}	Save failed: {0}
先导出一份，再清空	Export a copy first, then clear
全账号签到\n{0}	All-account signing\n{0}
取消排除该 bot	Unblock this bot
复制失败: {0}	Copy failed: {0}
复制目标到其它账号	Copy targets to another account
始终夜间（终端风）	Always dark (terminal)
已发起补签：{0}	Make-up sign started: {0}
已命令签到 {0}	Sign-in requested for {0}
已是最新 v{0}	Up to date (v{0})
应用失败: {0}	Apply failed: {0}
当前账号还没有目标	This account has no targets yet
待确认 {0} 个	{0} pending
打开失败: {0}	Could not open: {0}
指令 / 捕获按钮	Command / capture button
操作失败: {0}	Action failed: {0}
暂停一周 / 恢复	Pause 1 week / Resume
测试异常: {0}	Test error: {0}
添加失败: {0}	Add failed: {0}
界面语言：跟随系统	Language: system
目标列表（{0}）	Targets ({0})
示例 · 每日签到	Example · daily sign-in
系统分享（选应用）	Share via…
自动（跟宿主主题）	Auto (follow host theme)
账号一览（{0}）	Accounts ({0})
预览失败: {0}	Preview failed: {0}
（点下方按钮继续）	 (tap the button below for more)
（窗口内·已签完）	(inside window · all signed)
（窗口内·有未签）	(inside window · pending)
，请在安装界面确认	 — confirm in the installer
⑨ 换手机 / 备份	9. New phone / backup
⑪ 关键词与自动学习	11. Keywords & auto-learn
今日待补·已补·跳过	Pending · done · skipped
宽松模式（来者不拒）	Loose mode (accept anything)
导入配置 · 选备份	Import config · pick backup
已取消排除该 bot	Bot unblocked
开始下载 v{0}…	Downloading v{0}…
搜索日志，边输边过滤	Search logs — filters as you type
日志导出失败：{0}	Log export failed: {0}
确认框失败: {0}	Confirm dialog failed: {0}
选择要排除的 bot	Choose bots to block
（{0} 个不参与）	({0} not counted)
(未排除任何 bot)	(no blocked bots)
③ 前置命令（拉面板）	3. Pre-commands (pull the panel)
下载 v{0} 安装包	Download v{0}
冻结操作失败: {0}	Freeze failed: {0}
合并导入（保留现有的）	Merge (keep existing)
命中排除规则「{0}」	Matched block rule "{0}"
备注名（显示用，可空）	Label (display only, optional)
复制日志失败: {0}	Copying logs failed: {0}
复制本账号目标到该账号	Copy my targets here
学习关键词（逗号分隔）	Learning keywords (comma-separated)
导出失败：打不开写入流	Export failed: cannot open the output stream
已清空 {0} 项配置	Cleared {0} config entries
无法打开分享: {0}	Could not open the share sheet: {0}
暂停操作失败: {0}	Pause failed: {0}
检查更新失败: {0}	Update check failed: {0}
没等到 bot 回复：	No reply from the bot:
绑定失败：会话ID无效	Bind failed: invalid chat ID
自动判定成功 / 失败	Auto-detect success / failure
设置打开失败: {0}	Could not open settings: {0}
读取会话失败: {0}	Could not read chats: {0}
页面已关闭，请重新打开	The page was closed — open it again
② 添加目标（三种方式）	2. Add targets (3 ways)
④ 用什么节奏签（设置）	4. Signing pace (settings)
✅ 签到完成 {0} 个	✅ Signed {0}
保存后生效，日志不翻译。	Takes effect after saving. Logs are not translated.
如: 领取完毕,今日完成	e.g. claimed, completed today
已复制，粘到任意聊天即可	Copied — paste it into any chat
已导出到「下载」：{0}	Exported to Downloads: {0}
当前只有 1 个登录账号	Only 1 account signed in
检查更新未成功: {0}	Update check failed: {0}
没有匹配「{0}」的日志	No logs matching "{0}"
生成诊断包失败: {0}	Could not build the diagnostics bundle: {0}
界面语言：English	Language: English
重新采样（去点一次按钮）	Re-sample (tap the button once)
，请用文件管理器点开安装	 — open it with a file manager to install
🧪 已发送测试: {0}	🧪 Test sent: {0}
 · 窗口 {0}-{1}	 · window {0}-{1}
 · 补签开(至 {0})	 · make-up on (until {0})
Telegram 标志类：	Telegram flag classes:
[更多日志] → 运行日志	[More logs] → Logs
{0}（失败 {1} 次）	{0} (failed {1}×)
主题：{0}（保存后生效）	Theme: {0} (takes effect after saving)
今日补签 · {0} 目标	Make-up today · {0} targets
全部签到（{0} 个条目）	Sign all ({0} items)
分享 TGAutoSign	Share TGAutoSign
刚刚已经检查过，请稍后再试	Already checked just now — try again later
原计划 {0} · {1}	Planned {0} · {1}
原计划 {0} · 已完成	Planned {0} · done
只有一个登录账号，不用复制	Only one account signed in — nothing to copy
如: 次数已用完,不可领取	e.g. out of attempts, not claimable
已排除 {0} 个 bot	{0} bots blocked
打开作者主页失败: {0}	Could not open the author's page: {0}
打开目标选择失败: {0}	Could not open the target picker: {0}
把本账号配置应用到全部账号	Apply this account's settings to all
标记「仅测试」（不自动签）	Mark "test only" (never auto-sign)
示例模板：群打卡指令，可改	Example template: group check-in command, editable
规则·排除 bot·待确认	Rules · blocked bots · pending
该 bot 已存在相同指令	This command already exists
语言：{0}（保存后生效）	Language: {0} (takes effect after saving)
请在 TG 界面内完成捕获	Finish the capture inside Telegram
还没连续签到，今天去签一个	No streak yet — sign in today to start one
重绑为回调（去点它的按钮）	Rebind as callback (tap its button)
🧪 {0} 失败: {1}	🧪 {0} failed: {1}
停用该账号（不参与自动签到）	Disable this account (skip auto sign)
加载更多（还有 {0} 条）	Load more ({0} left)
取消「仅测试」（恢复自动签）	Unmark "test only" (resume auto-sign)
导出失败：写不进「下载」目录	Export failed: cannot write to Downloads
已入待确认：确认后才加入目标	Added to pending — confirm it to add as a target
已发起签到，结果见提示/日志	Sign-in started — see the toast / logs for the result
已命令全账号签到，结果见日志	Signing on all accounts — check the logs for results
已应用到全部 {0} 个账号	Applied to all {0} accounts
时间范围错误：结束需晚于开始	Invalid time range: the end must be later than the start
编辑（标签/前置命令/定位）	Edit (label / pre-commands / anchor)
覆盖导入（先清空目标和状态）	Replace (clear targets and state first)
计划 {0} · 到时自动签	Planned {0} · signs automatically when due
该版本没有可直接下载的安装包	This release has no downloadable package
还没有签到目标，切过去学一个	no targets yet — switch over and learn one
TGAutoSign · 管理	TGAutoSign · Manager
→ {0}（现有 {1} 个）	→ {0} ({1} now)
✅ 已添加 {0} → {1}	✅ Added {0} → {1}
✅ 已添加新签到目标: {0}	✅ Sign-in target added: {0}
从会话列表选群（自动填 ID）	Pick a group from chats (fills ID)
判定为失败的附加词（逗号分隔）	Extra words meaning FAILURE (comma separated)
判定为成功的附加词（逗号分隔）	Extra words meaning SUCCESS (comma separated)
在群聊里发签到指令（不是私聊）	Send the check-in command in a group chat (not a private chat)
备注名（可留空，如：某签到群）	Label (optional, e.g. "daily check-in group")
如: 点击图中事物（一行一条）	e.g. "tap the item in the picture" (one per line)
已命令全部签到，结果见运行日志	Signing all targets — see the logs for results
已导出 {0} 项配置\n{1}	Exported {0} config entries\n{1}
当前 v{0}\n正在检查更新…	Current v{0}\nChecking for updates…
待确认 {0} 个（点此处理）	{0} pending (tap to review)
机器人 ID（数字，无需 @）	Bot ID (numbers only, no @)
请在 TG 界面使用 /jmb	Use /jmb inside Telegram
（还没有目标，去该账号学一个）	 (no targets yet — switch over and learn one)
Telegram 标志类：{0}	Telegram flag classes: {0}
✅ 已添加回调签到目标: {0}	✅ Callback sign-in target added: {0}
只收文案命中关键词的按钮，防误加	Only buttons whose text matches your keywords are accepted, to avoid false adds
命中「排除的 bot」({0})	Blocked bot ({0})
如: 签到,打卡,checkin	e.g. sign-in, checkin, daily
已暂停一周（至 {0}）：{1}	Paused for a week (until {0}): {1}
已采样过按钮（捕获/调试台可用）	Buttons sampled (capture / console available)
开始捕获（去点 bot 的按钮）	Start capture (tap the bot's button)
排除规则（一行一条，命中不学习）	Block rules (one per line)
模板（点一下追加；可自行输入）：	Presets (tap to append; you can also type your own):
签到指令（如 /checkin）	Sign-in command (e.g. /checkin)
（文本/链接按钮，不能绑定回调）	 (text/link button — cannot bind a callback)
\n确定删除？（会跨所有账号清干净）	\nDelete? (clears it across all accounts)
$ (暂无日志消息，稍后自动出现)	$ (no log messages yet — they will appear shortly)
TGAutoSign · 检查更新	TGAutoSign · Check for updates
{0}  ·  约 {1} 分钟后	{0}  ·  in ~{1} min
使用我的自定义词（叠加在内置之上）	Use my own words (on top of the built-ins)
已复制到 {0}：新增 {1} 个	Copied to {0}: {1} added
已复制最近 {0} 行日志到剪贴板	Copied the last {0} log lines to the clipboard
当前账号还没有目标，先学一个再复制	This account has no targets yet — learn one first
点一下 bot 按钮就自动加到列表	Tap a bot button and it's added to the list automatically
示例模板：通用领取指令，可改或删除	Example template: generic claim command, edit or delete
签到指令，如：/qd 或 📅 签到	Sign-in command, e.g. /qd or 📅 Check in
\n\n{0} 现在有 {1} 个目标。	\n\n{0} currently has {1} targets.
▍已排除的 bot（取消勾选可解除）	BLOCKED BOTS (uncheck to unblock)
自动识别你在 bot 里发的签到文本	Detects the sign-in text you type in bots automatically
错误 {0} · 警告 {1}{2}	Errors {0} · Warnings {1}{2}
{0}：目标 {1} · 已签 {2}	{0}: {1} targets · {2} signed
⚠️ {0} 连续 {1} 天签到失败	⚠️ {0} failed {1} days in a row
✅ 诊断包已复制，直接粘贴发给作者即可	✅ Diagnostics bundle copied — just paste it to the author
如 /start；条目自带前置命令优先	e.g. /start; the entry's own pre-commands take priority
当前账号：{0}（共登录 {1} 个）	Current account: {0} ({1} signed in)
目标 {0} · 已签 {1}/{2}	{0} targets  ·  {1}/{2} signed
跟随系统：系统语言非中文时自动切英文。	System: switches to English when your system language isn't Chinese.
选择要查看日志的目标（点「全部」恢复）	Choose a target to filter logs (tap "All" to reset)
 · 已载入 {0} / 共 {1} 条	 · loaded {0} of {1}
▍目标列表里的 bot（勾选 = 排除）	BOTS IN YOUR TARGETS (check to block)
✅ TGAutoSign 今日签到完成 	✅ TGAutoSign — today's check-in complete 
分享给需要的人，文案已写好（含下载链接）	Share it with someone who needs it — the text is ready, download link included.
原计划 {0} · 已过补签截止 {1}	Planned {0} · past make-up deadline {1}
已排除该 bot：不再自动学习、不再签到	Bot blocked: no more auto-learning, no more signing
每目标在窗口内各占一段随机时刻，互不重叠	Each target gets its own non-overlapping random slot inside the window
没有需要复制的新目标（可能早就复制过了）	No new targets to copy (they may already have been copied)
测试签到（先跑前置命令→点按钮→看返回）	Test sign (pre-commands → tap button → see reply)
连续签到 {0} 天 · 最近 14 天	{0}-day streak · last 14 days
✅ 已添加 {0} → {1}，立即签到…	✅ Added {0} → {1}, signing now…
今日计划 · {0} 个目标 · 随机错开	Today's plan · {0} targets · randomly spread
导入完成：{0} 目标 {1} → {2}	Import done: {0} targets {1} → {2}
请在 Telegram 界面使用 /jmb	Please use /jmb inside Telegram
 请在 Telegram 界面使用 /jmb	 Please use /jmb inside Telegram
{0} · 原计划 {1} · 实际 {2}	{0} · planned {1} · actual {2}
原计划 {0} · 后台 1~5 分钟随机补	Planned {0} · retries in the background within 1–5 min
回调按钮读取正常（按实例字段取，不依赖类名）	Callback buttons readable (read from instance fields, no class names needed)
请在 Telegram 界面内使用 /jmb	Use /jmb inside Telegram
{0}：目标 {1} · 已签 {2}/{3}	{0}: {1} targets · {2}/{3} signed
✅ TGAutoSign 今日签到完成 {0}	✅ TGAutoSign — today's check-in complete ({0})
备注名（显示用，可空；如「每日签到」「查档」）	Label (display only, optional; e.g. "daily sign-in")
知道它要求的文本指令（bot ID + 指令）	I know the text command it expects (bot ID + command)
按钮定位文案（重开面板按此找回按钮，默认=标签）	Button locator text (used to find the button again when the panel reopens; defaults to the label)
(没读到按钮，请在 bot 里点一下签到按钮再试)	(No buttons found — tap the bot's check-in button first)
✅ 已绑定回调: {0}（当前共 {1} 个目标）	✅ Callback bound: {0} ({1} targets now)
勾选 = 排除该 bot（不自动学习、不自动签到）	Checked = block this bot (no auto-learning, no auto-signing)
已补 {0} · 待补 {1} · 已跳过 {2}	Made up {0} · pending {1} · skipped {2}
没找到群/频道。请先打开该群发一条消息，再回来试。	No groups/channels found. Open one and send a message, then come back.
目标 {0} · 今日已签 {1} · 待签 {2}	Targets {0} · signed today {1} · pending {2}
缺 {0}（该客户端自研了这层，模块不注入也不误伤）	missing {0} (this client rolled its own layer — module neither injects nor interferes)
群 ID 应为负数，如 -1001234567890	The group ID should be negative, e.g. -1001234567890
✅ TGAutoSign 今日签到完成 {0}/{1}	✅ TGAutoSign — {0}/{1} signed today
今日待补 {0} · 已补 {1} · 已跳过 {2}	To make up {0} · done {1} · skipped {2}
会话列表为空：先打开一次 TG 主界面（会话列表）再试	Chat list is empty — open Telegram's main chat list once, then retry
已存在该回调，已刷新消息/指纹（msg_id={0}）	Callback already exists — message/fingerprint refreshed (msg_id={0})
打开群链接失败，请确认已装 Telegram: {0}	Could not open the group link — make sure Telegram is installed: {0}
群 ID（形如 -1001234567890，含负号）	Group ID (like -1001234567890, minus sign included)
输入 /jmb 打开管理面板 · /help 查看教程	Send /jmb to open the panel · /help for the guide
1 = 13 天前 · 14 = 今天（绿 = 已签到）	1 = 13 days ago · 14 = today (green = signed)
下面是最近会话里的群 / 频道。点一条即可填入群 ID。	Recent groups / channels are listed below. Tap one to fill in the group ID.
去 bot 会话点一下它的签到按钮，会自动记忆并每天跟进	Tap its check-in button in the bot chat; it will be remembered and followed daily
取 InputPeer 失败，先在会话里点一下该 bot	Could not get InputPeer — tap the bot in your chat list first
前置命令序列（逗号或换行分隔，可空；发送后拉面板再点按钮）	Pre-command sequence (comma- or newline-separated, optional; sent first to pull up the panel before tapping)
去该 bot 会话点一下要绑的签到按钮，会自动作为回调新增	Open that bot's chat and tap the sign-in button you want to bind — it will be added as a callback automatically.
(暂无可调试按钮：先在目标 bot 会话里点一次它的签到按钮)	(No buttons to debug yet — tap the target bot's check-in button first)
0=按目标数自动均分；如设 30，则相邻目标至少隔 30 分钟	0 = spread evenly by target count; set 30 to force at least 30 minutes between targets
已签 {0} / {1} · 时间=已签时刻 / 待签计划时刻	Signed {0} / {1} · time = when it was signed / when it is planned
群 ID 必须是数字（负数），例：-1001234567890	The group ID must be a number (negative), e.g. -1001234567890
(暂无目标，点「添加目标」，或直接点 bot 的签到按钮自动学习)	(no targets — tap "Add target", or just tap the bot's sign-in button to learn it)
共 {0} 个登录账号（切换 Telegram 账号即切换目标集）	{0} accounts signed in (switching Telegram accounts switches the target set)
自动判定已关闭：机器人回复不会被判成败（设置 → 判定机器人回复）	Auto-detection is off: bot replies won't be judged (Settings → Judging bot replies)
发现新版本 v{0}（当前 v{1}）：发 /jmb → 🔄 检查更新	New version v{0} available (current v{1}): send /jmb → 🔄 Check updates
命中后先进「待确认」列表，你手动确认才加入（防验证码类 bot 误加）	Hits go to the pending list and are only added after you confirm (prevents adding captcha-style bots by mistake)
拿不到 MessagesController，请回到 TG 主界面再试	Could not get MessagesController — go back to Telegram's main screen and retry
(待确认列表为空)\n网络学习命中且「需确认」开启时，这里会出现候选目标。	(nothing pending)\nCandidates appear here when network learning hits and "confirm first" is on.
TGAutoSign 有新版本 v{0}：发 /jmb → 🔄 检查更新	TGAutoSign v{0} is available: send /jmb → 🔄 Check updates
⚠️ TGAutoSign 今日 {0}/{1} 已签，{2} 个未完成	⚠️ TGAutoSign — {0}/{1} signed today, {2} incomplete
⚠️ {0} 已连续 {1} 天签到失败\n原因: {2}\n账号: {3}	⚠️ {0} failed {1} days in a row\nReason: {2}\nAccount: {3}
内置为通用示例模板，点选后把 bot ID 和指令改成你的签到 bot。	These are generic example presets — after picking one, replace the bot ID and command with your own.
这类按钮无法用回调模拟；文本键盘类请用「文本指令」目标（文本=按钮文字）	This kind of button cannot be simulated with a callback. For text keyboards use a "Text command" target (text = the button label).
匹配 bot 回复正文 + 按钮文案。用 / 包裹当正则，# 开头为注释。	Matches the bot's reply text and button labels. Wrap in / to use a regex; lines starting with # are comments.
示例模板：改成你的 bot（数字 ID 在 bot 里发 /start 可得）	Example template: replace with your own bot (send /start to the bot to get its numeric ID)
签到完成 {0} 个，{1} 个没成功（/jmb → 📄 运行日志 里有原因）	Signed {0}, {1} failed (see /jmb → 📄 Logs for reasons)
捕获模式已开启：去 bot 会话里点一次它的按钮，我会列出该消息所有按钮供你绑定	Capture mode is on: open the bot's chat and tap its button once — all buttons in that message will be listed for binding.
以下目标来自「网络学习」，确认后才会加入自动签到。点「加入」确认，点「忽略」丢弃。	These targets came from "network learning" and are only added after you confirm. Tap Add to accept or Skip to discard.
当前共 {0} 个账号。默认只改本账号（{1}…），点上面按钮才会同步到其它账号。	{0} accounts in total. By default only this account ({1}…) is changed; use the button above to sync to the others.
开 = 窗口内按随机时刻逐个签（防风控，推荐）；关 = 检测到未签就马上签（限窗口内）	On = sign each target at a random time inside the window (recommended, avoids rate limits); Off = sign as soon as an unsigned target is detected (still inside the window)
清空会同时删掉当前列表和落盘的历史日志文件。\n建议先「导出再清空」留一份，方便之后对账。	Clearing removes both the current list and the log files on disk.\nExport a copy first so you still have it for reference.
自动 = 读宿主当前配色（取不到再看系统深色）；识别不准时可手动锁定，保存后重开界面生效	Auto = read the host's current colours (falls back to the system dark setting). If it's wrong, lock it manually — takes effect after saving and reopening.
每账号每天一条摘要，发到自己的「收藏夹」（不弹系统通知）。目标连续 3 天失败会额外提醒。	One summary per account per day, sent to your own Saved Messages (no system notification). A target failing 3 days in a row triggers an extra alert.
窗口结束后仍会补签到到这个时间（如 23:00），过了才真正放弃；仅「错过补签」开启时生效	Missed targets can still be signed up to this time (e.g. 23:00) before being given up; only applies when "Missed make-up" is on
✅ 已添加: {0}（这个 bot 已有 {1} 个目标；若是点着玩，建议长按设「仅测试」）	Added: {0} (this bot already has {1} targets — if you're just tapping around, consider "test only")
关掉 TG 期间错过的签到点：开=错过后随机延迟 1~5 分钟自动补；关=错过即跳过（默认）	Sign-ins missed while Telegram was closed: On = retry automatically 1–5 minutes late; Off = simply skip them (default)
把 {0} 的 {1} 个目标复制到其它账号。\n只复制目标本身，不带「今天已签」和重试记录。	Copy {0}'s {1} targets to another account.\nOnly the targets are copied — not today's sign-ins or retry history.
点下面的按钮武装捕获，然后去 bot 会话点一下它的按钮，\n会列出该消息的所有按钮供你添加。	Tap the button below to arm capture, then tap the bot's button in its chat.\nAll buttons on that message will be listed for you to add.
会话 uid={0}  msg={1}  回调按钮 {2}/{3}；点一个即绑定（可连点多个）	Chat uid={0}  msg={1}  callback buttons {2}/{3}; tap one to bind (you can bind several in a row)
开着：按内置词表判断机器人回复是成功还是失败。\n关掉：只记录回复、不判成败（目标需要你自己确认）。	On: uses the built-in word list to decide whether a reply means success or failure.\nOff: replies are only logged, never judged — you confirm targets yourself.
当前没有可排除的对象。\n先在目标列表长按某个 bot 选「排除整只 bot」，\n或先添加目标，再来这里勾选。	Nothing to block right now.\nLong-press a bot in the target list and choose "Block this bot",\nor add a target first and come back here.
「检查更新」走官方 GitHub 发布，检测到新版本可直接下载安装包。遇到问题或想提需求，用「加入群组」反馈。	"Check updates" uses the official GitHub releases; if a newer version exists you can download the package directly. For problems or feature requests, use "Join group".
不用管类型：去 bot 会话点一下它的签到按钮，选「自动识别」即可。\n如果它要的是发指令，用「我有签到指令」。	Don't worry about the type: open the bot's chat, tap its sign-in button once and choose "auto-detect".\nIf it expects a command instead, use "I have a command".
多账号用户的省事入口：把当前账号的目标整体复制给其它账号，不用一条条重新添加。入口在「全部功能 → 目标」里。	The easy path for multi-account users: copy this account's targets to another account in one go instead of re-adding them one by one. Find it under "All features → Targets".
 多账号用户的省事入口：把当前账号的目标整体复制给其它账号，不用一条条重新添加。入口在「全部功能 → 目标」里。	 The easy path for multi-account users: copy this account's targets to another account in one go instead of re-adding them one by one. Find it under "All features → Targets".
已发出但 bot 始终没回复：{0} 标记为「待确认」（不计成功也不计失败，已停止自动重试；想再试可手动点一次）	Sent but the bot never replied: {0} marked "unconfirmed" (not counted as success or failure; auto-retry stopped — retry manually if you like)
最新在最上 ｜ 现在看：{0} · {1} ｜ 红=错误 黄=警告 绿=成功 灰=普通 暗灰=调试 ｜ 长按行复制	Newest first ｜ showing: {0} · {1} ｜ red=error amber=warning green=success grey=normal dark grey=debug ｜ long-press a line to copy
「签全部账号」会依次签每个账号；定时签到跟随当前账号。切换 Telegram 账号后，本面板显示的目标集会随之切换。	"Sign all accounts" signs each account in turn; the timer follows the current account. After you switch Telegram accounts, the target set shown here switches with it.
